site_id,time_deploy,date_start,date_end,label_aru,lat_aru,long_aru,lat_pssb,long_pssb,stream,basin,notes
189,,2024-06-05,2024-08-10,UW1,47.74554,-122.21181,47.745483,-122.211857,Sammamish River tributary (0068),Sammamish River Basin,
174,,2024-06-05,2024-08-11,UW3,47.76312,-122.1564,47.763211,-122.156929,Little Bear Creek,Sammamish River Basin,
193,,2024-06-05,2024-08-09,UW4,47.74255,-122.14172,47.7427,-122.1418,Gold Creek (Sammamish),Sammamish River Basin,
191,,2024-06-05,2024-08-10,UW5,47.69706,-122.13156,47.696997,-122.131529,Sammamish River tributary (0101),Sammamish River Basin,
188,,2024-06-05,2024-08-10,UW6,47.6824,-122.14392,47.682628,-122.143714,Peters Creek,Sammamish River Basin,
125,,2024-06-06,2024-08-11,UW7,47.3748,-122.01706,47.374751,-122.017672,Rock Creek (Lower Cedar),Cedar River / Lake Washington Basin,
270,,2024-06-06,2024-08-11,UW8,47.35855,-122.12494,47.358599,-122.125122,Little Soos Creek,Duwamish - Green River Basin,
264,,2024-06-06,2024-08-11,UW9,47.33085,-122.1548,47.331725,-122.155276,Soosette Creek,Duwamish - Green River Basin,
262,,2024-06-06,2024-08-11,UW10,47.308,-122.17025,47.30855,-122.16904,Big Soos Creek,Duwamish - Green River Basin,
251,,2024-06-06,2024-08-11,UW11,47.30273,-122.27232,47.303209,-122.272324,Mill Creek (Auburn),Duwamish - Green River Basin,
252,,2024-06-06,2024-08-11,UW12,47.303,-122.26053,47.303166,-122.260837,Mill Creek (Auburn),Duwamish - Green River Basin,
211,,2024-06-08,2024-08-13,UW13,47.36951,-122.20883,47.36934,-122.2088,Mill Creek (Kent),Duwamish - Green River Basin,
209,,2024-06-08,2024-08-11,UW14,47.38269,-122.22351,47.382722,-122.223995,Mill Creek (Kent),Duwamish - Green River Basin,
210,,2024-06-08,2024-08-11,UW15,47.40697,-122.21634,47.407005,-122.216196,Garrison Creek - S Fork,Duwamish - Green River Basin,
213,,2024-06-08,2024-08-15,UW16,47.44195,-122.20759,47.442177,-122.207574,Panther Creek (Black River),Duwamish - Green River Basin,
136,,2024-06-09,2024-08-16,UW17,47.55227,-122.1651,47.55253,-122.16512,Coal Creek (Lake Wash.),Cedar River / Lake Washington Basin,
161,,2024-06-09,2024-08-14,UW18,47.57841,-122.11404,47.578488,-122.113038,Vasa Creek,Sammamish River Basin,
150,,2024-06-09,2024-08-14,UW21,47.55093,-122.04667,47.551207,-122.046876,Issaquah Creek,Sammamish River Basin,
216,,2024-06-09,2024-08-14,UW22,47.46611,-122.20737,47.46604,-122.207183,Springbrook Creek tributary (0006B),Duwamish - Green River Basin,
121,,2024-06-09,2024-08-14,UW23,47.46643,-122.15948,47.466198,-122.159083,Molasses Creek,Cedar River / Lake Washington Basin,
122,,2024-06-09,2024-08-15,UW24,47.45262,-122.13853,47.453235,-122.137979,Madsen Creek,Cedar River / Lake Washington Basin,
159,,2024-06-11,2024-08-15,UW25,47.53248,-121.98078,47.532008,-121.980821,Issaquah Creek - E Fork,Sammamish River Basin,
155,,2024-06-11,2024-08-13,UW26,47.53193,-121.97564,47.531946,-121.976205,High Point Creek,Sammamish River Basin,
160,,2024-06-11,2024-08-18,UW27,47.52586,-121.94147,47.525851,-121.941132,Issaquah Creek - E Fork,Sammamish River Basin,
2363,,2024-06-11,2024-08-16,UW28,47.48926,-121.72281,47.48838,-121.7196,Snoqualmie River - Middle Fork tributary (Lower),Snoqualmie Forks Basin,
2222,,2024-06-11,2024-08-16,UW29,47.4881,-121.78541,47.48806,-121.7853,Snoqualmie River - S Fork tributary,Snoqualmie Forks Basin,
153,,2024-06-11,2024-08-16,UW30,47.48461,-122.02875,47.484906,-122.028632,Fifteenmile Creek,Sammamish River Basin,
3089,2025-06-06 18:11,2025-06-07,2025-08-29,UW9,47.7012,-122.23866,47.701,-122.239,Champagne Creek,Cedar River / Lake Washington Basin,
2599,2025-06-06 14:47,2025-06-07,2025-08-30,UW5,47.54923,-121.88901,47.54926,-121.88884,Snoqualmie River tributary (0430),Lower Snoqualmie Basin,
2371,2025-06-06 11:49,2025-06-07,2025-08-28,UW8,47.75371,-121.89422,47.75381,-121.8941,Margaret Creek,Lower Snoqualmie Basin,
2369,2025-06-06 12:24,2025-06-07,2025-08-28,GJ4,47.74627,-121.89846,47.74605,-121.89852,Cherry Creek,Lower Snoqualmie Basin,
119,2025-06-06 17:19,2025-06-07,2025-08-06,UW27,47.73302,-122.06063,47.73302,-122.05998,Colin Creek,Sammamish River Basin,
163,2025-06-06 15:59,2025-06-07,2025-08-29,UW13,47.60094,-122.08028,47.60094,-122.08034,Pine Lake Creek,Sammamish River Basin,
644,2025-06-06 16:39,2025-06-07,2025-08-31,UW12,47.68843,-122.10449,47.68827,-122.10414,Perrigo Creek,Sammamish River Basin,
168,2025-06-06 15:34,2025-06-07,2025-08-17,UW11,47.56485,-122.04964,47.56511,-122.05018,Laughing Jacobs Creek,Sammamish River Basin,
3109,2025-06-08 10:23,2025-06-09,2025-08-28,GJ3,47.63284,-122.15207,47.63264,-122.15215,Valley Creek (Bellevue),Cedar River / Lake Washington Basin,
3095,2025-06-08 10:47,2025-06-09,2025-08-14,UW7,47.61986,-122.16396,47.61986,-122.16396,Goff Creek,Cedar River / Lake Washington Basin,
1228,2025-06-08 11:23,2025-06-09,2025-08-29,UW18,47.60492,-122.16488,47.60489,-122.16478,"Kelsey Creek, West Tributary",Cedar River / Lake Washington Basin,
3097,2025-06-08 12:12,2025-06-09,2025-06-26,UW4,47.56608,-122.17922,47.5661,-122.1787,Coal Creek (Lake Wash.),Cedar River / Lake Washington Basin,
1229,2025-06-08 12:44,2025-06-09,2025-08-27,UW3,47.55531,-122.18871,47.55537,-122.18886,Lakehurst Creek,Cedar River / Lake Washington Basin,
132,2025-06-08 13:15,2025-06-09,2025-09-01,UW20,47.52967,-122.20061,47.52966,-122.2006,May Creek (Lake Washington),Cedar River / Lake Washington Basin,
207,2025-06-08 14:15,2025-06-09,2025-08-30,UW16,47.4837,-122.2273,47.4835,-122.22727,Lake Washington tributary,Cedar River / Lake Washington Basin,
3107,2025-06-08 9:57,2025-06-09,2025-09-03,UW14,47.63505,-122.11136,47.63522,-122.11115,Idylwood Creek,Sammamish River Basin,
156,2025-06-08 15:55,2025-06-09,2025-08-25,UW17,47.42765,-121.97802,47.42772,-121.97842,Carey Creek,Sammamish River Basin,
198,2025-06-09 19:55,2025-06-10,2025-08-29,UW10,47.67352,-122.31068,47.67345,-122.31073,Ravenna Creek,Cedar River / Lake Washington Basin,
218,2025-06-09 9:25,2025-06-10,2025-08-28,UW24,47.30951,-122.07819,47.30933,-122.07769,Covington Creek,Duwamish - Green River Basin,
220,2025-06-09 10:30,2025-06-10,2025-08-31,UW30,47.32898,-122.02158,47.32877,-122.02207,Covington Creek,Duwamish - Green River Basin,
257,2025-06-09 11:27,2025-06-10,2025-08-28,UW23,47.23554,-121.95138,47.23594,-121.95098,Newaukum Creek - N Fork,Duwamish - Green River Basin,
259,2025-06-09 11:50,2025-06-10,2025-09-01,UW26,47.231,-121.94786,47.23108,-121.94603,Newaukum Creek,Duwamish - Green River Basin,
225,2025-06-09 12:30,2025-06-10,2025-08-29,UW28,47.26769,-121.91594,47.26691,-121.91694,Coal Creek (Green River),Duwamish - Green River Basin,
197,2025-06-09 19:06,2025-06-10,2025-09-04,UW25,47.72075,-122.12448,47.72045,-122.12432,Sammamish River tributary (0095D),Sammamish River Basin,
116,2025-06-09 18:08,2025-06-10,2025-08-19,UW22,47.71858,-122.07481,47.71833,-122.07394,Seidel Creek,Sammamish River Basin,
1959,2025-06-09 18:35,2025-06-10,2025-09-05,UW1,47.68603,-122.08201,47.68545,-122.08244,Stensland Creek,Sammamish River Basin,
2604,2025-06-09 16:00,2025-06-10,2025-09-02,UW6,47.49423,-121.64035,47.49518,-121.64029,Snoqualmie River - Middle Fork tributary (Lower),Snoqualmie Forks Basin,
2221,2025-06-09 16:40,2025-06-10,2025-09-01,UW29,47.44068,-121.66734,47.44062,-121.66643,Snoqualmie River - S Fork tributary,Snoqualmie Forks Basin,