common_name,habitat_1,habitat_2,habitat_3,habitat_4,range,insectivore,riparian_dependent_breeding,riparian_obligate_breeding,rip_obl_rich2002,rip_dep_rich2002,rip_asso_rich2002,foraging_guild_cornell,breeding_guild
American Barn Owl,Grasslands,Open Space Developed,Marsh,,Year-Round,,,,,,,aerial dive,ground hawker
American Bittern,Woody and Herbaceous Wetlands,Marsh,,,Breeding,,,,,,,stalking,water ambusher
American Coot,Open Water,,,,Year-Round,,,,,,,surface dive,freshwater diver
American Crow,Medium Intensity Urban,High Intensity Developed,Low Intensity Developed,Open Space Developed,Year-Round,,,,,,,ground forager,ground forager
American Dipper,Riparian,,,,Year-Round,Yes,Yes,Yes,X,,X,surface dive,riparian bottom gleaner
American Goldfinch,Grasslands,Forest,,,Year-Round,,Yes,,,X,X,foliage gleaner,ground forager / lower-canopy forager
American Kestrel,Grasslands,Low Intensity Developed,Woodland,,Year-Round,,,,,,,aerial dive,air hawker
American Pipit,Grasslands,,,,Breeding,Yes,,,,,,ground forager,ground forager
American Robin,Riparian,Medium Intensity Urban,Forest,Grasslands,Year-Round,Yes,,,,,,ground forager,ground forager
American Wigeon,Open Water,,,,Non-breeding,,,,,,,dabbler,ground grazer 
Anna's Hummingbird,Low Intensity Developed,Medium Intensity Urban,Woodland,Grasslands,Year-Round,,,,,,,hovering,floral hover-gleaner
Ash-throated Flycatcher,,,,,,,,,,,,flycatching,air sallier
Bald Eagle,Riparian,Low Intensity Developed,Forest,,Year-Round,,Yes,Yes,X,,X,soaring,water foot-plunger
Band-tailed Pigeon,Forest,,,,Breeding,,,,,,,foliage gleaner,lower-canopy gleaner
Barn Swallow,Riparian,Open Space Developed,Woody and Herbaceous Wetlands,,Breeding,Yes,,,,,,aerial forager,air screener
Barred Owl,Forest,,,,Year-Round,,,,,,,aerial dive,ground hawker
Belted Kingfisher,Riparian,Open Water,,,Year-Round,,Yes,Yes,X,,X,aerial dive,water plunge
Bewick's Wren,Riparian,Forest,Grasslands,,Year-Round,Yes,,,,X,X,foliage gleaner,ground gleaner
Black Phoebe,,,,,,,,,,,,flycatching,
Black-capped Chickadee,Woodland,Low Intensity Developed,,,Year-Round,Yes,,,,X,X,foliage gleaner,
Black-headed Grosbeak,Riparian,Forest,,,Breeding,Yes,Yes,,,X,X,foliage gleaner,
Black-throated Gray Warbler,Evergreen Forest,Low Intensity Developed,,,Breeding,Yes,,,,,,foliage gleaner,
Blue Grosbeak,,,,,,,,,,,,foliage gleaner,
Blue-winged Teal,Open Water,Woody and Herbaceous Wetlands,Marsh,,Breeding,,,,,,,dabbler,
Brewer's Blackbird,Grasslands,Medium Intensity Urban,Low Intensity Developed,,Year-Round,Yes,,,,,,ground forager,
Brewer's Sparrow,,,,,,,,,,,,foliage gleaner,
Brown Creeper,Forest,Evergreen Forest,,,Year-Round,Yes,,,,,,bark forager,
Brown-headed Cowbird,Grasslands,Open Space Developed,,,Breeding,,,,,,,ground forager,
Bufflehead,Open Water,Woodland,,,Winter,Yes,,,,,,surface dive,
Bushtit,Woodland,Grasslands,Forest,,Year-Round,Yes,,,,,,foliage gleaner,
Cackling Goose,Woody and Herbaceous Wetlands,Low Intensity Developed,,,Migration,,,,,,,ground forager,
California Gull,Open Water,,,,Non-breeding,,,,,,,ground forager,
California Quail,Riparian,Woodland,,,Year-Round,,,,,,,ground forager,
California Scrub-Jay,Riparian,Medium Intensity Urban,Forest,,Year-Round,,,,,,,ground forager,
Canada Goose,Open Water,Medium Intensity Urban,Grasslands,,Year-Round,,,,,,,ground forager,
Caspian Tern,Open Water,,,,Breeding,,,,,,,aerial dive,
Cassin's Finch,,,,,,,,,,,,ground forager,
Cassin's Vireo,Deciduous Forest,Evergreen Forest,,,Breeding,Yes,,,,,,foliage gleaner,
Cedar Waxwing,Riparian,Low Intensity Developed,Woodland,Forest,Year-Round,Yes,,,,,,foliage gleaner,
Chestnut-backed Chickadee,Evergreen Forest,,,,Year-Round,Yes,,,,,,foliage gleaner,
Chipping Sparrow,Riparian,Grasslands,Evergreen Forest,Woodland,Breeding,Yes,,,,,,ground forager,
Chukar,,,,,,,,,,,,ground forager,
Cinnamon Teal,Marsh,Woody and Herbaceous Wetlands,,,Breeding,,,,,,,dabbler,
Clark's Nutcracker,,,,,,,,,,,,foliage gleaner,
Cliff Swallow,Riparian,Woodland,Grasslands,,Breeding,Yes,,,,,,aerial forager,
Common Merganser,Open Water,,,,Year-Round,,,,,,,surface dive,
Common Raven,Forest,High Intensity Developed,Grasslands,Low Intensity Developed,Year-Round,,,,,,,ground forager,
Common Yellowthroat,Riparian,Low Intensity Developed,Grasslands,,Breeding,Yes,Yes,Yes,X,,X,foliage gleaner,
Cooper's Hawk,Riparian,Medium Intensity Urban,Forest,,Breeding,,Yes,,,X,X,aerial forager,
Dark-eyed Junco,Evergreen Forest,Low Intensity Developed,Woodland,Deciduous Forest,Year-Round,,,,,,,ground forager,
Double-crested Cormorant,Open Water,,,,Migration,,,,,,,surface dive,
Downy Woodpecker,Riparian,Low Intensity Developed,Woodland,,Year-Round,Yes,,,,,,bark forager,
Dusky Flycatcher,,,,,,,,,,,,flycatching,
Eurasian Collared-Dove,Low Intensity Developed,Medium Intensity Urban,,,Year-Round,,,,,,,ground forager,
European Starling,Medium Intensity Urban,High Intensity Developed,Low Intensity Developed,Open Space Developed,Year-Round,,,,,,,ground forager,
Evening Grosbeak,Evergreen Forest,,,,Year-Round,,,,,,,ground forager,
Fox Sparrow,Woodland,,,,Non-breeding,Yes,Yes,Yes,X,,X,ground forager,
Gadwall,Riparian,Low Intensity Developed,Open Water,,Year-Round,,,,,,,dabbler,
Glaucous-winged Gull,Open Water,,,,Year-Round,,,,,,,ground forager,
Golden-crowned Kinglet,Evergreen Forest,Low Intensity Developed,,,Year-Round,Yes,,,,,,foliage gleaner,
Golden-crowned Sparrow,Grasslands,Medium Intensity Urban,Woodland,,Non-breeding,,,,,,,ground forager,
Gray Catbird,,,,,,,,,,,,ground forager,
Gray Flycatcher,,,,,,,,,,,,flycatching,
Great Blue Heron,Riparian,Open Water,,,Year-Round,,,,,,,stalking,
Great Horned Owl,Forest,Low Intensity Developed,Woodland,,Year-Round,,,,,,,aerial dive,
Green Heron,Riparian,Marsh,,,Breeding,,,,,,,stalking,
Green-winged Teal,Open Water,Marsh,,,Non-breeding,,,,,,,dabbler,
Hairy Woodpecker,Forest,Woodland,,,Year-Round,Yes,,,,,,bark forager,
Hammond's Flycatcher,Forest,Woodland,,,Breeding,Yes,,,,,,flycatching,
Hermit Thrush,Riparian,Forest,,,Year-Round,Yes,,,,,,ground forager,
Hooded Merganser,Riparian,Forest,,,Year-Round,,,,,,,surface dive,
House Finch,Low Intensity Developed,Medium Intensity Urban,Grasslands,,Year-Round,,,,,,,ground forager,
House Sparrow,Medium Intensity Urban,High Intensity Developed,Low Intensity Developed,Open Space Developed,Year-Round,,,,,,,ground forager,
House Wren,Deciduous Forest,Medium Intensity Urban,Woodland,,Breeding,Yes,,,,X,X,foliage gleaner,
Hutton's Vireo,Riparian,Low Intensity Developed,Forest,,Year-Round,Yes,,,,,,foliage gleaner,
Killdeer,Open Water,,,,Year-Round,Yes,,,,,,ground forager,
Lark Sparrow,,,,,,,,,,,,ground forager,
Least Flycatcher,,,,,,,,,,,,flycatching,
Lesser Goldfinch,,,,,,,,,,X,X,foliage gleaner,
Lesser Scaup,Woody and Herbaceous Wetlands,Marsh,Open Water,,Non-breeding,,,,,,,surface dive,
Lincoln's Sparrow,Riparian,Forest,Marsh,,Non-breeding,Yes,Yes,Yes,X,,X,ground forager,
MacGillivray's Warbler,Riparian,Forest,,,Breeding,Yes,Yes,,,X,X,foliage gleaner,
Mallard,Riparian,High Intensity Developed,Open Water,,Year-Round,Yes,,,,,,dabbler,
Marbled Murrelet,Evergreen Forest,,,,Breeding,,,,,,,surface dive,
Marsh Wren,Marsh,,,,Year-Round,Yes,,,,,,ground forager,
Merlin,Grasslands,Woodland,,,Year-Round,,,,,,,aerial forager,
Mountain Bluebird,,,,,,,,,,,,flycatching,
Mourning Dove,Forest,Grasslands,Low Intensity Developed,,Year-Round,,,,,,,ground forager,
Northern Flicker,Forest,Medium Intensity Urban,Woodland,Grasslands,Year-Round,Yes,,,,,,ground forager,
Northern Harrier,Riparian,Marsh,Grasslands,Woody and Herbaceous Wetlands,Year-Round,,,,,,,aerial dive,
Northern Pygmy-Owl,Woodland,Forest,,,Year-Round,,,,,,,aerial forager,
Northern Rough-winged Swallow,Woodland,Medium Intensity Urban,,,Breeding,Yes,,,,,,aerial forager,
Northern Shoveler,Open Water,,,,Year-Round,,,,,,,dabbler,
Olive-sided Flycatcher,Evergreen Forest,,,,Breeding,Yes,,,,,,flycatching,
Orange-crowned Warbler,Riparian,Deciduous Forest,,,Breeding,Yes,Yes,,,X,X,foliage gleaner,
Osprey,Riparian,Low Intensity Developed,Open Water,Forest,Breeding,,,,,,,aerial dive,
Pacific Wren,Riparian,Evergreen Forest,Deciduous Forest,,Year-Round,Yes,,,,,,ground forager,
Palm Warbler,,,,,,,,,,,,ground forager,
Pied-billed Grebe,Open Water,,,,Year-Round,,,,,,,surface dive,
Pileated Woodpecker,Riparian,Forest,,,Year-Round,Yes,,,,,,bark forager,
Pine Grosbeak,,,,,,,,,,,,foliage gleaner,
Pine Siskin,Evergreen Forest,,,,Year-Round,,,,,,,foliage gleaner,
Purple Finch,Riparian,Evergreen Forest,,,Year-Round,,,,,,,foliage gleaner,
Purple Martin,Riparian,Medium Intensity Urban,Forest,Low Intensity Developed,Breeding,Yes,,,,,,aerial forager,
Red Crossbill,Evergreen Forest,,,,Year-Round,,,,,,,foliage gleaner,
Red-breasted Nuthatch,Evergreen Forest,Woodland,,,Year-Round,Yes,,,,,,bark forager,
Red-breasted Sapsucker,Riparian,Evergreen Forest,,,Year-Round,,,,,,,bark forager,
Red-eyed Vireo,Riparian,Forest,,,Breeding,Yes,Yes,,,X,X,foliage gleaner,
Red-shouldered Hawk,,,,,,,,,,,,aerial dive,
Red-tailed Hawk,Grasslands,Medium Intensity Urban,Woodland,,Year-Round,,,,,,,soaring,
Red-winged Blackbird,Marsh,Low Intensity Developed,Grasslands,,Year-Round,Yes,,,,,,ground forager,
Ring-billed Gull,Open Water,,,,Non-breeding,,,,,,,ground forager,
Ring-necked Duck,Marsh,Woody and Herbaceous Wetlands,,,Year-Round,,,,,,,surface dive,
Rock Pigeon,Medium Intensity Urban,High Intensity Developed,Low Intensity Developed,,Year-Round,,,,,,,ground forager,
Ruby-crowned Kinglet,Evergreen Forest,,,,Non-breeding,Yes,,,,,,foliage gleaner,
Ruddy Duck,Open Water,Marsh,Woody and Herbaceous Wetlands,,Non-breeding,Yes,,,,,,surface dive,
Ruffed Grouse,,,,,,,,,,,,foliage gleaner,
Rufous Hummingbird,Forest,Medium Intensity Urban,Low Intensity Developed,,Breeding,,,,,,,hovering,
Savannah Sparrow,Grasslands,Open Space Developed,,,Breeding,Yes,,,,,,ground forager,
Sharp-shinned Hawk,Forest,,,,Year-Round,,,,,,,aerial dive,
Song Sparrow,Riparian,Low Intensity Developed,Forest,Grasslands,Year-Round,Yes,,,X,,X,ground forager,
Sooty Grouse,Forest,,,,Year-Round,,,,,,,ground forager,
Spotted Sandpiper,Open Water,,,,Year-Round,,,,,,,probing,
Spotted Towhee,Forest,,,,Year-Round,Yes,,,,,,ground forager,
Steller's Jay,Forest,Woodland,,,Year-Round,,,,,,,ground forager,
Swainson's Hawk,,,,,,,,,,X,X,soaring,
Swainson's Thrush,Riparian,Evergreen Forest,,,Breeding,Yes,Yes,,,X,X,foliage gleaner,
Townsend's Warbler,Evergreen Forest,,,,Year-Round,Yes,,,,,,foliage gleaner,
Tree Swallow,Riparian,Woody and Herbaceous Wetlands,,,Breeding,Yes,,,,X,X,aerial forager,
Turkey Vulture,Forest,Low Intensity Developed,Grasslands,,Breeding,,,,,,,soaring,
Varied Thrush,Forest,,,,Year-Round,Yes,,,,,,ground forager,
Vaux's Swift,Evergreen Forest,Medium Intensity Urban,,,Breeding,Yes,,,,,,aerial forager,
Violet-green Swallow,Woodland,,,,Breeding,Yes,,,,,,aerial forager,
Virginia Rail,Marsh,Woody and Herbaceous Wetlands,,,Year-Round,,,,,,,probing,
Warbling Vireo,Riparian,Deciduous Forest,Marsh,,Breeding,Yes,Yes,,,X,X,foliage gleaner,
Western Bluebird,Riparian,Low Intensity Developed,Grasslands,Woodland,Breeding,Yes,,,,,,flycatching,
Pacific-slope Flycatcher,Riparian,Forest,,,Breeding,Yes,,,,X,X,flycatching,
Western Meadowlark,Grasslands,,,,Year-Round,Yes,,,,,,ground forager,
Western Screech-Owl,Riparian,Deciduous Forest,,,Year-Round,,,,,,,aerial dive,
Western Tanager,Forest,Woodland,,,Breeding,Yes,,,,,,foliage gleaner,
Western Wood-Pewee,Riparian,Forest,Woodland,,Breeding,Yes,Yes,,,X,X,flycatching,
White-crowned Sparrow,Grasslands,Medium Intensity Urban,Low Intensity Developed,Forest,Year-Round,,,,,,,ground forager,
White-throated Sparrow,Forest,,,,Migration,Yes,,,,,,ground forager,
Willow Flycatcher,Riparian,Evergreen Forest,,,Breeding,Yes,Yes,Yes,X,,X,flycatching,
Wilson's Warbler,Riparian,Forest,Woodland,,Breeding,Yes,Yes,Yes,X,,X,foliage gleaner,
Wood Duck,Riparian,Open Water,Woody and Herbaceous Wetlands,,Year-Round,,,,,,,dabbler,
Yellow Warbler,Riparian,Deciduous Forest,,,Breeding,Yes,Yes,Yes,,,X,foliage gleaner,
Yellow-breasted Chat,,,,,,,,,,,,foliage gleaner,
Yellow-rumped Warbler,Evergreen Forest,,,,Year-Round,Yes,,,,,,foliage gleaner,